x0,x1,x2,label
-8.589424,-43.405128,-52.309038,1.000000
-2.343252,-44.030116,-54.488180,1.000000
-45.364530,-29.232598,36.613689,1.000000
-3.913102,-44.720703,-29.448447,1.000000
-0.234722,-43.300729,4.395509,-1.000000
5.403973,-44.037217,-27.732772,-1.000000
-67.998382,-61.091113,-57.313654,1.000000
-66.707462,-61.290373,-54.698812,1.000000
-1.451590,-36.866146,37.527033,-1.000000
-65.595076,-28.185606,-7.265333,-1.000000
1.926487,-10.644707,52.048754,-1.000000
-15.786670,-70.400652,-59.025201,1.000000
-22.491392,-76.891636,-33.628307,1.000000
-78.625794,-55.876481,-59.336475,-1.000000
-28.019637,-54.291713,45.606120,1.000000
-26.592001,-78.055511,-33.250759,1.000000
-4.056260,-44.768152,-35.024147,1.000000
-67.082120,-58.112007,-55.271314,1.000000
-12.147027,-65.741227,-57.855359,1.000000
-38.152140,-24.321298,-39.559237,-1.000000
-64.016003,-49.898788,21.729858,1.000000
-23.882523,-59.479585,-0.763500,1.000000
-60.575315,-11.385453,34.665870,1.000000
-12.784493,-42.938418,-51.010049,1.000000
-27.701975,-82.115778,-30.294750,-1.000000
-7.981850,-43.118958,-69.977774,-1.000000
-6.188747,-45.943254,-55.505070,1.000000
-3.358187,-46.655246,-29.379636,-1.000000
-34.624664,-65.549053,-45.549811,-1.000000
-6.828066,-44.611072,33.255701,1.000000
-3.265903,-46.920055,3.071462,1.000000
1.809782,-14.339407,51.122551,-1.000000
-52.579410,-74.755281,-52.964132,-1.000000
-75.035664,-52.977280,-57.271052,-1.000000
5.684801,-40.677571,-28.629105,-1.000000
7.124525,-43.944082,7.591347,-1.000000
-5.258156,-46.604089,-64.126035,-1.000000
-31.599711,-54.430666,-5.398025,1.000000
-61.404132,-49.058980,22.729012,1.000000
12.298654,-42.747141,-18.314362,-1.000000
-12.222857,-83.436643,-68.093780,-1.000000
-22.903756,-23.656714,12.381788,-1.000000
5.905243,-53.155660,-26.222733,-1.000000
-60.365703,-51.201441,28.545805,1.000000
-1.600564,-48.460819,2.912307,1.000000
-1.645339,-45.634756,-24.339393,-1.000000
-10.022779,-47.946638,-56.785284,1.000000
-38.391355,-102.667082,-40.393591,1.000000
-33.562584,-76.107064,-34.414902,1.000000
-10.488986,-41.192945,-54.286299,1.000000
-6.115157,-37.374524,-54.047764,1.000000
-57.904691,-87.630491,-49.105731,1.000000
-9.311748,-72.260714,-55.956913,1.000000
-58.872588,-10.405328,38.012793,1.000000
-30.281539,-62.797821,-52.567742,-1.000000
-17.040259,-82.517703,-65.614410,-1.000000
-19.313574,-50.421873,46.535863,1.000000
-77.376779,-54.021192,-61.243741,-1.000000
-69.898423,-57.781303,-55.673094,1.000000
-84.347062,-35.440504,-17.257558,1.000000
-23.691734,-49.064940,46.485550,1.000000
-4.000933,-42.489762,-31.272514,1.000000
-3.055273,-15.223952,53.008481,-1.000000
-60.575838,-49.446745,20.009268,1.000000
-84.776274,-37.233849,-20.686039,1.000000
-18.206034,-32.443401,10.646267,-1.000000
-63.493974,-9.657329,45.971428,1.000000
-69.185201,-62.228563,-57.986174,1.000000
-71.230451,-59.787416,-56.174254,1.000000
-25.550778,-74.721640,-28.857269,-1.000000
-30.981836,-25.260986,-33.626161,-1.000000
-24.540613,-56.468310,49.756908,1.000000
-9.575969,-44.721706,-66.927927,-1.000000
-0.531630,-40.337066,-1.854519,1.000000
-1.928408,-42.535641,-63.962710,-1.000000
-0.386242,-41.787300,-32.531630,1.000000
-77.894989,-52.160653,-62.276975,-1.000000
-52.816520,-13.942278,40.335316,1.000000
-87.668622,-39.356919,-25.271638,1.000000
-6.285888,-82.654624,-64.327924,-1.000000
-66.671844,-46.589682,23.686655,1.000000
1.157376,-43.476899,-24.403005,-1.000000
-42.372268,-54.854436,9.072219,1.000000
-63.506582,-28.000119,-15.797227,-1.000000
-14.714504,-71.584078,-55.196762,1.000000
-14.949589,-84.360937,-61.357395,-1.000000
-9.850166,-68.413590,-67.830163,1.000000
-24.293262,-77.710005,-32.682323,-1.000000
-58.891900,-14.523510,38.910271,1.000000
-15.773914,-58.529688,36.707080,-1.000000
-28.895603,-32.753362,-17.892211,1.000000
-39.093925,-97.792019,-41.620799,1.000000
-66.513832,-28.207878,-7.727873,-1.000000
-42.602697,-94.213327,-38.949762,1.000000
-29.090096,-80.450016,-34.493126,-1.000000
14.372269,-43.159015,-20.042787,-1.000000
-83.692236,-41.840913,-15.382628,1.000000
-4.521447,-46.542889,-22.160019,-1.000000
-34.628760,-66.498747,-47.388987,-1.000000
-25.450129,-76.737739,-27.932711,1.000000
-66.380767,-47.444206,18.784922,1.000000
-20.656105,-53.261776,45.482719,1.000000
-24.578941,-85.225297,-34.132887,-1.000000
-5.285937,-44.808491,-29.365157,1.000000
-82.864188,-36.706931,-18.340688,1.000000
-32.828089,-26.098942,-38.505199,-1.000000
-47.654402,-53.720792,13.241010,1.000000
-11.726732,-50.271103,33.960730,1.000000
-21.793879,-49.397014,51.673381,1.000000
0.204465,-45.899431,2.901336,-1.000000
10.182285,-43.516089,11.711370,-1.000000
11.410720,-46.262108,-21.206099,-1.000000
1.208730,-16.160048,52.047687,-1.000000
-11.833379,-69.943678,-59.500899,1.000000
-15.293883,-58.608018,33.062990,-1.000000
-56.098096,-48.416894,16.885884,1.000000
-67.148636,-66.274297,-57.637355,1.000000
-3.865558,-42.382494,35.744126,1.000000
-17.617420,-80.386876,-62.526305,-1.000000
-30.236179,-84.925384,-22.826112,-1.000000
8.937387,-48.532783,4.562192,-1.000000
-47.074656,-23.984899,32.158197,1.000000
5.922677,-18.094091,44.843455,-1.000000
-60.312568,-41.050136,34.914184,-1.000000
-24.873640,-23.375147,17.103099,-1.000000
-87.311443,-39.734340,-18.774026,1.000000
-46.864409,-76.373059,-50.259203,-1.000000
-14.724615,-89.072408,-62.470979,-1.000000
-18.996517,-59.291178,38.104314,-1.000000
-1.743440,-15.250119,51.399633,-1.000000
6.233737,-43.102364,-28.035608,-1.000000
-43.477032,-99.031498,-42.828505,1.000000
-41.087044,-26.474056,39.786811,1.000000
-24.655391,-58.372412,50.134863,1.000000
-58.516791,-11.651139,39.531189,1.000000
-6.844003,-50.897081,1.440809,1.000000
-55.146002,-92.732935,-49.988970,1.000000
-15.029087,-32.985194,19.818970,-1.000000
-4.673161,-42.844486,-68.479961,-1.000000
-47.255983,-50.690178,13.694693,1.000000
-12.712795,-84.670020,-67.086494,-1.000000
-9.865717,-79.414020,-58.735239,-1.000000
-79.116357,-54.273117,-60.770133,-1.000000
-4.046957,-44.050865,-30.131101,1.000000
-56.849361,-43.859496,30.908960,-1.000000
-10.618631,-43.680353,-52.205834,1.000000
-60.123449,-12.249209,40.351549,1.000000
-31.461325,-81.659809,-28.190099,-1.000000
-9.453335,-47.625432,-68.662369,-1.000000
-24.734423,-85.767990,-29.593695,1.000000
