x0,x1,x2,label
-14.844643,-22.198984,14.707428,-1.000000
-37.074922,-36.190886,-11.546774,1.000000
-13.328849,-66.177298,-50.687456,1.000000
-24.453944,-44.146932,40.502439,1.000000
1.203945,-11.859630,44.616252,-1.000000
-17.669215,-23.543376,4.177625,-1.000000
-11.369939,-93.286293,-32.161539,1.000000
-19.965296,-89.344220,-29.079903,1.000000
-32.554296,-48.870169,47.311574,1.000000
-69.800905,-39.971747,-22.641285,1.000000
10.657201,-32.191092,-19.354964,-1.000000
-15.014906,-22.025312,5.731882,-1.000000
-60.251361,-83.749524,-49.298539,1.000000
-28.517603,-98.837630,-25.155643,1.000000
-44.183442,-69.137603,-46.014288,-1.000000
-49.414197,-34.494641,-5.821850,-1.000000
-8.989983,-74.592769,-68.873824,-1.000000
-65.932421,-49.093325,-51.468738,-1.000000
-5.317262,-13.012425,36.203786,-1.000000
-41.118503,-30.023457,-11.724109,1.000000
-44.056444,-69.694929,-52.561023,-1.000000
-36.863618,-55.241625,-43.741945,1.000000
-4.865646,-37.842373,-17.922436,-1.000000
-40.615198,-73.039856,-52.027657,-1.000000
-28.727520,-29.169019,-11.248889,1.000000
-37.216866,-15.286689,-36.698230,-1.000000
4.031193,-41.150732,-14.194020,-1.000000
-37.806486,-41.770354,-13.686050,-1.000000
-30.545209,-30.280549,-13.492098,1.000000
-0.215946,-9.311722,41.563923,-1.000000
-42.360173,-53.588768,-44.460103,1.000000
-46.231400,-35.823427,-5.716993,-1.000000
-24.913776,-46.583410,6.978456,1.000000
-48.829773,-22.055949,37.044151,1.000000
-35.455481,-19.043716,-32.265199,-1.000000
-7.600112,-12.987249,38.491363,-1.000000
-71.741945,-37.947577,-21.038187,1.000000
-34.725591,-68.969097,-47.747263,-1.000000
-66.784661,-59.847639,-47.224400,-1.000000
-27.353599,-63.280374,-44.435229,-1.000000
-31.301310,-19.039970,-29.945024,-1.000000
-31.136303,-18.850458,-32.461951,-1.000000
-27.607992,-24.578922,-8.818605,1.000000
-34.271100,-24.747107,-35.875903,-1.000000
-49.846790,-17.124745,31.259028,1.000000
-25.530099,-49.327630,8.869198,1.000000
-49.066849,-30.933637,-2.514895,-1.000000
-45.551664,-29.648542,-4.955695,1.000000
-39.712302,-34.726988,-15.296010,1.000000
-70.691383,-41.743058,-18.230733,1.000000
-41.686693,-74.323239,-48.969746,-1.000000
-18.851605,-51.484620,38.891378,1.000000
-24.822946,-51.802544,-21.498913,1.000000
-72.281405,-47.282413,-18.919771,1.000000
-43.820071,-57.112323,-47.953659,1.000000
-34.695159,-12.927781,-40.620090,-1.000000
-74.151965,-45.415019,-17.062093,1.000000
-3.363282,-7.906421,47.345500,-1.000000
-59.093351,-49.066549,-50.228987,-1.000000
-21.126087,-84.976617,-32.889318,1.000000
-29.936315,-57.593574,-45.889020,-1.000000
-18.133839,-82.323506,-58.703130,-1.000000
-19.474354,-96.982052,-43.692474,1.000000
-41.516838,-55.671342,-48.431579,1.000000
-36.837380,-23.277850,-12.548797,1.000000
-23.836908,-93.398336,-37.117942,1.000000
-41.122550,-64.854736,-42.877459,1.000000
-1.922356,-11.447933,48.989262,-1.000000
-17.178546,-65.640475,-59.849529,1.000000
-25.779190,-56.173107,-13.948865,1.000000
-43.496038,-68.758417,-54.994373,-1.000000
-24.339916,-58.349167,-49.858981,1.000000
-14.877283,-18.944306,14.718785,-1.000000
-39.943069,-28.868502,-13.945670,1.000000
-68.134275,-37.917242,-24.318131,1.000000
-58.482571,-69.279878,-49.195809,1.000000
-46.955326,-19.617658,33.180652,1.000000
3.926776,-47.777424,-12.436646,-1.000000
-6.401502,-80.602771,-62.766185,-1.000000
-49.186936,-13.294589,31.501820,1.000000
4.390527,-41.582775,-15.830985,-1.000000
0.234924,-37.473029,-15.688195,-1.000000
-18.497304,-63.472102,-62.166205,1.000000
-48.121101,-70.834468,-46.064415,-1.000000
-3.999719,-74.376550,-58.266023,-1.000000
-28.942836,-16.092717,-31.365300,-1.000000
-51.733501,-77.539211,-48.156165,1.000000
-12.491995,-82.590123,-60.624568,-1.000000
-34.296458,-33.707460,-11.822186,1.000000
-28.502156,-37.771701,44.421454,1.000000
9.560102,-35.852043,-11.552462,-1.000000
-23.334521,-46.121566,34.867973,1.000000
-12.296455,-63.859576,-55.916337,1.000000
-30.448489,-38.190501,-5.527690,1.000000
-31.637208,-53.707953,-1.195901,1.000000
-45.175149,-22.170032,33.366834,1.000000
-19.702690,-44.749744,44.037075,1.000000
-71.791845,-44.859225,-28.833123,1.000000
-50.863276,-19.453951,31.799351,1.000000
-28.032359,-55.317783,-44.719905,-1.000000
-30.939054,-19.478782,-33.939985,-1.000000
-34.761658,-29.929994,-7.906829,1.000000
-24.365004,-61.590072,-41.115410,-1.000000
-8.984479,-28.967241,9.007017,-1.000000
-57.026706,-30.062390,-11.152985,-1.000000
-64.494468,-43.228597,-56.911938,-1.000000
-35.391066,-56.286801,-44.493612,1.000000
-26.978558,-61.604474,-38.825534,-1.000000
-23.968800,-19.643208,-31.653357,-1.000000
-16.516650,-29.457621,6.896859,-1.000000
-20.118310,-59.072672,-43.878454,-1.000000
-72.206045,-47.580669,-56.402063,-1.000000
-23.534145,-14.158482,-40.850212,-1.000000
-33.264377,-60.864985,-49.783015,-1.000000
6.684787,-43.575275,-11.280185,-1.000000
3.536572,-38.202073,-17.019400,-1.000000
-47.051638,-66.272603,-46.874566,-1.000000
-14.316935,-60.125165,-52.474921,1.000000
-24.777491,-93.184457,-34.805128,1.000000
-26.672185,-41.439828,35.749806,1.000000
-37.050212,-43.458393,-11.783071,1.000000
-10.531174,-74.143247,-57.260770,-1.000000
-11.792308,-11.855289,13.931629,-1.000000
-26.066574,-41.988407,30.598839,1.000000
-22.892011,-42.517452,37.730407,1.000000
-7.014301,-79.525361,-58.678576,-1.000000
-74.958352,-37.568639,-15.594679,1.000000
-42.610211,-73.477194,-57.452255,-1.000000
-6.348761,-11.874925,40.585468,-1.000000
0.332436,-41.344810,-14.728674,-1.000000
-60.940112,-7.674200,36.186450,1.000000
-35.900022,-25.967238,-9.018732,1.000000
-31.035104,-14.890113,-34.266402,-1.000000
-24.042942,-44.321163,47.630699,1.000000
-41.729659,-68.184553,-57.559789,-1.000000
-38.789902,-67.652140,-45.356439,-1.000000
-11.087516,-58.792257,-54.753861,1.000000
-33.509679,-17.855874,-37.776070,-1.000000
