x,y,label
-0.783027,0.804574,0.000000
0.058808,-0.132346,0.000000
0.846097,-0.793032,0.000000
-0.253897,0.320405,0.000000
0.572729,-0.710688,0.000000
0.669302,-0.761380,0.000000
0.823987,-0.814947,0.000000
-0.663044,0.640682,0.000000
0.770218,-0.771406,0.000000
-0.102545,0.042226,0.000000
0.061603,0.000580,0.000000
-0.660850,0.715849,0.000000
-0.691258,0.695927,0.000000
-0.675455,0.755163,0.000000
0.190080,-0.157023,0.000000
0.026954,-0.087716,0.000000
-0.529001,0.555075,0.000000
0.611757,-0.679560,0.000000
0.682448,-0.620333,0.000000
-0.703710,0.700180,0.000000
0.787496,-0.800568,0.000000
0.149023,-0.197172,0.000000
0.557993,-0.471547,0.000000
0.696674,-0.707601,0.000000
-0.799929,0.769642,0.000000
0.544026,-0.568926,0.000000
0.142455,-0.104815,0.000000
0.411569,-0.385728,0.000000
0.004100,0.025085,0.000000
-0.428128,0.458591,0.000000
-0.186188,0.337626,0.000000
-0.143671,0.114933,0.000000
-0.018272,-0.017949,0.000000
0.594593,-0.652136,0.000000
0.191325,-0.147769,0.000000
-0.646708,0.726539,0.000000
-0.519404,0.511346,0.000000
0.701791,-0.761199,0.000000
-0.641658,0.583359,0.000000
-0.527838,0.573842,0.000000
-0.465811,0.518367,0.000000
-0.526361,0.564768,0.000000
-0.830983,0.783924,0.000000
0.762618,-0.746202,0.000000
0.211351,-0.203100,0.000000
-0.767023,0.782487,0.000000
-0.062966,0.124586,0.000000
-0.291709,0.307520,0.000000
0.281054,-0.233048,0.000000
0.487179,-0.482400,0.000000
-0.842314,0.862758,0.000000
0.242718,-0.198079,0.000000
-0.154267,0.051231,0.000000
0.380564,-0.403168,0.000000
-0.784212,0.750952,0.000000
0.379262,-0.424437,0.000000
-0.738130,0.718675,0.000000
0.420566,-0.314857,0.000000
-0.793334,0.732111,0.000000
0.268293,-0.199826,0.000000
-0.686105,0.567108,0.000000
-0.187050,0.163370,0.000000
0.686073,-0.674565,0.000000
0.381800,-0.340348,0.000000
-0.418135,0.468426,0.000000
-0.231456,0.287554,0.000000
0.237088,-0.261747,0.000000
0.522187,-0.554880,0.000000
-0.507007,0.567675,0.000000
-0.227488,0.213960,0.000000
-0.355310,0.265105,0.000000
-0.001459,-0.078677,0.000000
0.227703,-0.292718,0.000000
0.212960,-0.177806,0.000000
0.807526,-0.797455,0.000000
-0.718020,0.766845,0.000000
0.196577,-0.226788,0.000000
0.043219,-0.032008,0.000000
0.245567,-0.201331,0.000000
0.242666,-0.264540,0.000000
-0.309461,0.341760,0.000000
-0.316134,0.269329,0.000000
-0.547251,0.521579,0.000000
0.709098,-0.736091,0.000000
-0.687170,0.602611,0.000000
-0.778372,0.812806,0.000000
-0.834183,0.800991,0.000000
0.609348,-0.608464,0.000000
0.043783,-0.009789,0.000000
-0.703673,0.735248,0.000000
-0.425577,0.472626,0.000000
0.731151,-0.738115,0.000000
-0.650499,0.620568,0.000000
-0.572553,0.566916,0.000000
-0.521841,0.402528,0.000000
0.105940,-0.208266,0.000000
-0.273625,0.180096,0.000000
-0.397803,0.327287,0.000000
0.204294,-0.176026,0.000000
-0.510308,0.446281,0.000000
0.383134,-0.409874,0.000000
0.592326,-0.500457,0.000000
-0.631963,0.606771,0.000000
0.315565,-0.263415,0.000000
0.714524,-0.780541,0.000000
-0.564219,0.549692,0.000000
-0.544855,0.477678,0.000000
-0.512066,0.488093,0.000000
0.302869,-0.243450,0.000000
-0.224114,0.101974,0.000000
0.836171,-0.805452,0.000000
0.878922,-0.862112,0.000000
0.388924,-0.430937,0.000000
-0.075328,-0.026923,0.000000
-0.158343,0.163443,0.000000
0.608287,-0.645728,0.000000
-0.625699,0.642152,0.000000
-0.755084,0.756629,0.000000
0.729486,-0.616223,0.000000
-0.573757,0.556832,0.000000
-0.224997,0.152625,0.000000
0.027100,-0.014423,0.000000
0.032472,-0.016916,0.000000
-0.368986,0.465095,0.000000
0.531882,-0.472831,0.000000
-0.175289,0.200523,0.000000
0.480949,-0.377478,0.000000
0.661629,-0.745687,0.000000
-0.105459,0.060222,0.000000
0.361127,-0.426646,0.000000
-0.437860,0.410296,0.000000
-0.317844,0.220497,0.000000
0.468232,-0.423320,0.000000
-0.594082,0.578369,0.000000
0.202976,-0.306978,0.000000
-0.401200,0.329388,0.000000
0.414674,-0.392505,0.000000
0.545355,-0.486091,0.000000
-0.559164,0.700354,0.000000
-0.604086,0.810127,0.000000
0.247860,-0.218557,0.000000
0.280254,-0.350225,0.000000
-0.425109,0.274351,0.000000
0.459556,-0.440626,0.000000
-0.630887,0.573403,0.000000
0.813828,-0.843198,0.000000
0.592992,-0.636274,0.000000
0.622000,-0.631956,0.000000
0.351637,-0.276261,0.000000
-0.610836,0.621941,0.000000
-0.231001,0.219783,0.000000
0.630508,-0.703739,0.000000
0.647884,-0.766302,0.000000
0.341031,-0.375418,0.000000
-0.236422,0.232619,0.000000
-0.090184,0.215196,0.000000
0.671675,-0.662463,0.000000
-0.405967,0.475458,0.000000
-0.246934,0.211629,0.000000
-0.843620,0.759832,0.000000
-0.141896,0.073652,0.000000
0.271030,-0.322311,0.000000
0.697250,-0.546744,0.000000
-0.759141,0.701061,0.000000
0.804897,-0.745607,0.000000
0.225101,-0.288948,0.000000
-0.004922,0.070794,0.000000
-0.095907,0.123128,0.000000
-0.130028,0.118952,0.000000
-0.354084,0.351201,0.000000
0.603546,-0.649846,0.000000
-0.361082,0.392624,0.000000
-0.655110,0.622938,0.000000
0.760430,-0.847093,0.000000
0.754034,-0.844398,0.000000
-0.848404,0.860608,0.000000
0.404622,-0.292963,0.000000
0.054788,-0.043475,0.000000
0.309932,-0.318321,0.000000
-0.049540,0.069751,0.000000
-0.303654,0.396002,0.000000
-0.439706,0.455219,0.000000
0.240514,-0.269571,0.000000
0.449290,-0.371064,0.000000
-0.096160,0.126478,0.000000
0.256703,-0.148109,0.000000
-0.185452,0.198409,0.000000
-0.245558,0.158975,0.000000
-0.697945,0.601202,0.000000
0.890417,-0.773678,0.000000
0.728365,-0.606484,0.000000
-0.518800,0.506106,0.000000
-0.161218,0.134122,0.000000
0.797431,-0.694092,0.000000
-0.789771,0.711491,0.000000
-0.317116,0.253850,0.000000
0.045622,-0.000132,0.000000
-0.485402,0.457499,0.000000
-0.162202,0.161839,0.000000
0.202516,-0.214073,0.000000
0.362382,-0.338512,0.000000
0.143410,-0.043886,0.000000
0.054706,-0.048300,0.000000
-0.324548,0.370081,0.000000
-0.024498,-0.120471,0.000000
0.824358,-0.827803,0.000000
-0.340639,0.281014,0.000000
0.689450,-0.775633,0.000000
-0.622514,0.560420,0.000000
-0.351649,0.328023,0.000000
-0.157741,0.222505,0.000000
0.013287,-0.107077,0.000000
0.549900,-0.547734,0.000000
-0.290566,0.256330,0.000000
0.667186,-0.690356,0.000000
-0.133710,0.204616,0.000000
0.563108,-0.525057,0.000000
-0.097015,0.191583,0.000000
0.591886,-0.602811,0.000000
0.631450,-0.680660,0.000000
0.040010,-0.055839,0.000000
-0.369043,0.386191,0.000000
0.429401,-0.416915,0.000000
-0.021102,-0.055575,0.000000
-0.504532,0.510930,0.000000
-0.070215,0.086353,0.000000
-0.089006,0.267019,0.000000
0.534611,-0.401898,0.000000
0.583522,-0.643855,0.000000
0.582517,-0.602838,0.000000
-0.865803,0.762322,0.000000
0.689748,-0.731517,0.000000
0.623298,-0.600981,0.000000
0.532597,-0.447330,0.000000
-0.516535,0.464981,0.000000
0.142221,-0.188476,0.000000
-0.589603,0.437767,0.000000
0.127074,-0.138576,0.000000
-0.549475,0.474351,0.000000
-0.704306,0.666869,0.000000
0.060526,-0.122529,0.000000
-0.820243,0.813578,0.000000
-0.824799,0.700509,0.000000
0.765138,-0.868873,0.000000
-0.037633,0.188193,0.000000
-0.298258,0.207223,0.000000
-0.624642,0.547088,0.000000
-0.233816,0.363705,0.000000
-0.203521,0.408940,0.000000
0.305115,-0.387958,0.000000
-0.553384,0.527345,0.000000
